Unnamed: 0,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,cluster
0,"RT pressjournal: Colonsay islanders and people who have left the island but want to move back will be given priority for the homes.
https://t.co/rq94whmsAw",2023-02-07 03:20:43.040309,1622564995115503616,2023-02-06 11:56:55+00:00,0.0,0.0,0.0,0.0,,,elginnewsround,852,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west,positive,0.351920664310455,4
1,"Colonsay islanders and people who have left the island but want to move back will be given priority for the homes.
https://t.co/BQxO42sOnH",2023-02-07 03:20:43.040317,1622550741599625221,2023-02-06 11:00:16+00:00,0.0,0.0,0.0,0.0,,,pressjournal,69944,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west,positive,0.344510436058044,4
7,"@ArianeBurgessHI Serviced plots for 25k are exactly what local workers in the highlands need, the ability to make use of land not tended would be a good start in helping more locals get housing.",2023-02-07 03:20:51.207543,1622549961081487360,2023-02-06 10:57:10+00:00,0.0,0.0,1.0,0.0,,,ArianeBurgessHI,3207,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west,positive,0.339811116456985,5
9,"RT @VicBuilders: ""25-unit townhome development...which aims to provide...missing-middle housing options – has sparked controversy.."" The real controversy is zero new missing middle homes in #Saanich in 2022. BC govt support also missing https://t.co/8BvcuGiNya …",2023-02-07 03:20:56.511307,1622671505778778152,2023-02-06 19:00:09+00:00,0.0,0.0,0.0,0.0,,,DominiqueBandet,90,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (bc housing OR save beacon hill park OR vwth OR north park neighbourhood association OR victoria disability resource centre OR hillsidequadra OR tourism vancouver island OR emergency housing OR sooke homelessness coalition OR victoria native friendship centre OR unhoused OR collude) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west,positive,0.36549386382103,5
27,@OurNewHomecoach @laughatthemoon2 There is so much more to this as well I live in the sth highlands and talking to other trades there is a shortage of labour and council are taking up 12 mths on approvals and that includes small jobs even if the gov facilitate social housing it’s not enough,2023-02-07 03:21:18.339644,1622767215811641344,2023-02-07 01:20:28+00:00,0.0,0.0,1.0,0.0,,,martin85468119,18,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (greater victoria coalition to end homelessness OR the homeless idea podcast OR esquimalt nation office OR substance uvic OR aryze developments OR oak bay united church OR victoria downtown residents association OR aboriginal coalition to end homelessness OR lived experience OR healthcare OR social housing OR stolen) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west,positive,0.363047897815704,5
41,"Henrico will hold a public hearing 6pm Thursday, Feb. 16, at Fairfield Area Library to receive comments on the county’s draft HOME-ARP Allocation Plan, which proposes uses for $3.2M in federal funding for housing-support services. 

Details: https://t.co/nWXx2Hpt0Y. https://t.co/z6vT1DVIbW",2023-02-07 03:21:47.714152,1622694165569015827,2023-02-06 20:30:11+00:00,1.0,0.0,2.0,1.0,,,HenricoNews,15666,(beacon hill park OR fairfield OR hillside-quadra OR millstream OR pandora avenue OR saanichton OR southern gulf islands OR vic west park) (crd OR svdp OR beacon community services OR quadra village community centre OR victoria harbour cats OR i love first peoples victoria OR township of esquimalt OR peer housing support OR the cridge centre for the family OR people with lived experience OR home OR drugs) lang:en -is:retweet,beacon hill park OR fairfield OR hillside-quadra OR millstream OR pandora avenue OR saanichton OR southern gulf islands OR vic west park,neutral,0.346381396055222,4
50,"The Portland City Council has unveiled its latest response to the city’s housing crisis: a $36.15 million renovation of the city-owned Fairfield Apartments, an 82-unit affordable housing complex. 
https://t.co/7dyYStPCvg",2023-02-07 03:22:01.034057,1622633720254701569,2023-02-06 16:30:00+00:00,68.0,20.0,65.0,10.0,,,wweek,209185,(beacon hill park OR fairfield OR hillside-quadra OR millstream OR pandora avenue OR saanichton OR southern gulf islands OR vic west park) (foundry victoria OR the cridge centre for the family OR dvba OR solid outreach OR 1up victoria single parent resource centre OR need2 suicide prevention education  support OR victoria chamber OR aceh OR affordable housing OR front line worker OR poverty OR social structure) lang:en -is:retweet,beacon hill park OR fairfield OR hillside-quadra OR millstream OR pandora avenue OR saanichton OR southern gulf islands OR vic west park,positive,0.357790470123291,5
51,"A Yuma, Arizona, hospital is overrun with illegal immigrants and has spent over $20 million on uncompensated healthcare for them. 
https://t.co/wdCCPXbgl2",2023-02-07 03:22:03.696385,1622709216686518272,2023-02-06 21:30:00+00:00,0.0,3.0,7.0,4.0,,,cnsnews,127680,(beacon hill park OR fairfield OR hillside-quadra OR millstream OR pandora avenue OR saanichton OR southern gulf islands OR vic west park) (greater victoria coalition to end homelessness OR the homeless idea podcast OR esquimalt nation office OR substance uvic OR aryze developments OR oak bay united church OR victoria downtown residents association OR aboriginal coalition to end homelessness OR lived experience OR healthcare OR social housing OR stolen) lang:en -is:retweet,beacon hill park OR fairfield OR hillside-quadra OR millstream OR pandora avenue OR saanichton OR southern gulf islands OR vic west park,positive,0.337913990020752,14
57,"Can you trust @Dave_Eby?One week he says he's not buying in Burnside GorgeThen they announce he (as Housing Minister) ""bought a hotel (Capital City Centee) adjacent to Downtown""Adjacent = Burnside Gorge@Adam_Stirling, what do you think?Can Eby be trusted? https://t.co/6yYCcXAvvC @mattdellok @Stephen_Andrew @BC_Housing @Dave_Eby @VictoriaDRA ""It would be easier to buy in Burnside Gorge"" Minister Eby https://t.co/bSP0LdgPwJ",2023-02-07 03:22:23.822381,1622663516938285056,2023-02-06 18:28:24+00:00,4.0,0.0,7.0,3.0,,,KassSociety,2,"(burnside-gorge OR fairfield-gonzales OR hollywood park OR north park OR pauquachin OR salt spring island OR stadacona park OR victoria) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",burnside-gorge OR fairfield-gonzales OR hollywood park OR north park OR pauquachin OR salt spring island OR stadacona park OR victoria,positive,0.379262626171112,4
68,"@nytimesworld Weird article- the greenbelt is not ""our central park"" it's very far away from downtown! New homes built there will not be affordable or serviced by public transit. GTA already has land zoned for development. No mention of gov corruption?",2023-02-07 03:23:50.387148,1622599632269213696,2023-02-06 14:14:33+00:00,0.0,0.0,0.0,0.0,,,Babbyspinch_,0,(central park OR galloping goose OR juan de fuca OR nuu-chah-nulth OR quadra OR selkirk green OR the gorge OR view royal) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,central park OR galloping goose OR juan de fuca OR nuu-chah-nulth OR quadra OR selkirk green OR the gorge OR view royal,positive,0.354200273752213,13
